name,infrastructure_type,latitude,longitude
New Salem Missionary Baptist Church,place_of_worship,41.7722556,-87.6728288
New Third Heaven Missionary Baptist Church,place_of_worship,41.7625336,-87.6639393
Mount Sinai Missionary Baptist Church,place_of_worship,41.7865387,-87.6565153
New Birth Strong Hope Missionary Baptist Church,place_of_worship,41.7511449,-87.6539387
New Greater Saint James Missionary Baptist Church,place_of_worship,41.9022539,-87.7706136
New Era Missionary Baptist Church,place_of_worship,41.7656962,-87.6448496
New Faith Missionary Baptist Church,place_of_worship,41.7286455,-87.6056032
Mission Unlimited Church of God in Christ,place_of_worship,41.8808657,-87.6983882
Mount Moriah Missionary Baptist Church,place_of_worship,41.8608656,-87.7336667
Mount Olive Missionary Baptist Church,place_of_worship,41.9138734,-87.6522295
Mount Carmel Ridge Missionary Baptist Church,place_of_worship,41.7654377,-87.6375281
Mount Ebal Missionary Baptist Church,place_of_worship,41.6994786,-87.6339369
Mount Elim Missionary Baptist Church,place_of_worship,41.7600657,-87.6538423
New Calvary Missionary Baptist Church,place_of_worship,41.7244784,-87.6436599
New Bethel Independent Christian Church,place_of_worship,41.945944,-87.6564429
Greater Pisidia Missionary Baptist Church,place_of_worship,41.7683259,-87.6672604
First Southern Baptist Church,place_of_worship,41.7755984,-87.6937923
Hope Bible Church,place_of_worship,41.7658671,-87.6439387
Holy Miracle Church,place_of_worship,41.7072565,-87.6256034
Holy Ground Missionary Baptist Church,place_of_worship,41.8611675,-87.7154846
Greater New Mount Olivet Missionary Baptist Church,place_of_worship,41.8820963,-87.7432879
Greater New Mount Zion Missionary Baptist Church,place_of_worship,41.8658903,-87.7331983
Greater Jasper Stone Missionary Baptist Church,place_of_worship,41.8596834,-87.7252229
Greater Mount Bethel Missionary Baptist Church,place_of_worship,41.7278118,-87.6431045
Greater Rock of Ages Missionary Baptist Church,place_of_worship,41.7687749,-87.6624799
Unknown,place_of_worship,41.7878116,-87.6258831
Greater Star Missionary Baptist Church,place_of_worship,41.8733656,-87.7219999
Gods Holy Ghost Missionary Baptist Church,place_of_worship,41.8890805,-87.7557403
Good Temple Missionary Baptist Church,place_of_worship,41.725143,-87.6049307
Church of Jesus Christ,place_of_worship,41.7759645,-87.6711721
Greater Canaan Missionary Baptist Church,place_of_worship,41.6775344,-87.6239361
Greater Christian Light Missionary Baptist Church,place_of_worship,41.8897542,-87.7464457
First Peaceful Missionary Baptist Church,place_of_worship,41.8514215,-87.7044987
Greater Bethel Missionary Baptist Church,place_of_worship,41.7653218,-87.6125407
Free Lance Deliverance Church,place_of_worship,41.9022343,-87.6946228
Free Salvation Missionary Baptist Church,place_of_worship,41.7364806,-87.589877
Galilee Missionary Baptist Church,place_of_worship,41.6947566,-87.620603
First Christian Community Baptist Church,place_of_worship,41.7581819,-87.6058816
Chicago Christian Church,place_of_worship,41.8735658,-87.7069867
Faith of Abraham Missionary Baptist Church,place_of_worship,41.7505894,-87.6583832
Faith Tabernacle Church,place_of_worship,41.9509659,-87.6504468
Englewood United Missionary Baptist Church,place_of_worship,41.778563,-87.6590962
Church of God,place_of_worship,41.7728119,-87.6100488
Faith of Truth Missionary Baptist Church,place_of_worship,41.7626913,-87.6639595
First Christian Charismatic Church La Nueva Uncion,place_of_worship,41.8012102,-87.6870168
Church of God,place_of_worship,41.9192546,-87.7268849
Church of God,place_of_worship,41.9030151,-87.7180789
Saint Catherine School,school,41.680574,-87.6390787
Collins South School,school,41.713673,-87.6573947
Who So Ever Will Let Him Come Missionary Baptist Church,place_of_worship,41.7958318,-87.6448637
Victory Bible Church,place_of_worship,41.8414221,-87.6417185
Zen Buddhist Temple,place_of_worship,41.9222569,-87.6490493
Willing Workers of God Christian and Missionary Alliance Church,place_of_worship,41.7903114,-87.6433838
United Bibleway Community Missionary Baptist Church,place_of_worship,41.68559,-87.6158803
Universal Missionary Baptist Church,place_of_worship,41.8905876,-87.7453346
Kingdom Restoration Christian Center,place_of_worship,41.8639212,-87.7272777
Saint Rest Number 2 Missionary Baptist Church,place_of_worship,41.8722437,-87.7259643
Saint Rome Missionary Baptist Church,place_of_worship,41.8946473,-87.7670486
Saint Luke Missionary Baptist Church,place_of_worship,41.8945135,-87.7674884
Rockwell Baptist Church,place_of_worship,41.9064212,-87.6925554
Progressive Solid Rock Missionary Baptist Church,place_of_worship,41.894704,-87.7486349
Rayfield Missionary Baptist Church,place_of_worship,41.7630893,-87.6547723
Pullman Christian Reformed Church,place_of_worship,41.7071234,-87.6129802
Saint John Evangelist Missionary Baptist Church,place_of_worship,41.7753547,-87.6643885
Rissho Kosei-Kai Church of Chicago,place_of_worship,41.9508602,-87.6708834
True Gospel Missionary Baptist Church,place_of_worship,41.8986428,-87.7722802
Truevine Baptist Church,place_of_worship,41.8948876,-87.7741134
