hex_id,time_bin,season,count
-14661_6819,Night (00-05),Fall,0
-14661_6819,Morning (06-11),Winter,0
-14661_6819,Morning (06-11),Spring,0
-14661_6819,Morning (06-11),Summer,0
-14661_6819,Morning (06-11),Fall,0
-14661_6819,Afternoon (12-17),Winter,0
-14661_6819,Afternoon (12-17),Spring,0
-14661_6819,Afternoon (12-17),Summer,0
-14661_6819,Afternoon (12-17),Fall,0
-14661_6819,Evening (18-23),Winter,0
-14661_6819,Evening (18-23),Spring,0
-14661_6819,Evening (18-23),Summer,0
-14661_6819,Evening (18-23),Fall,0
-14661_6820,Night (00-05),Winter,0
-14661_6820,Night (00-05),Spring,0
-14661_6820,Night (00-05),Summer,0
-14661_6820,Night (00-05),Fall,0
-14661_6820,Morning (06-11),Winter,0
-14661_6820,Morning (06-11),Spring,0
-14661_6820,Morning (06-11),Summer,0
-14661_6820,Morning (06-11),Fall,0
-14661_6820,Afternoon (12-17),Winter,1
-14661_6820,Afternoon (12-17),Spring,0
-14661_6820,Afternoon (12-17),Summer,0
-14661_6820,Afternoon (12-17),Fall,0
-14661_6820,Evening (18-23),Winter,0
-14661_6820,Evening (18-23),Spring,0
-14661_6820,Evening (18-23),Summer,0
-14661_6820,Evening (18-23),Fall,0
-14661_6821,Night (00-05),Winter,0
-14661_6821,Night (00-05),Spring,0
-14661_6821,Night (00-05),Summer,0
-14661_6821,Night (00-05),Fall,0
-14661_6821,Morning (06-11),Winter,0
-14661_6821,Morning (06-11),Spring,0
-14661_6821,Morning (06-11),Summer,1
-14661_6821,Morning (06-11),Fall,0
-14661_6821,Afternoon (12-17),Winter,0
-14661_6821,Afternoon (12-17),Spring,0
-14661_6821,Afternoon (12-17),Summer,0
-14661_6821,Afternoon (12-17),Fall,0
-14661_6821,Evening (18-23),Winter,0
-14661_6821,Evening (18-23),Spring,0
-14661_6821,Evening (18-23),Summer,0
-14661_6821,Evening (18-23),Fall,1
-14662_6815,Night (00-05),Winter,0
-14662_6815,Night (00-05),Spring,0
-14662_6815,Night (00-05),Summer,0
-14662_6815,Night (00-05),Fall,0
-14662_6815,Morning (06-11),Winter,0
-14662_6815,Morning (06-11),Spring,0
-14662_6815,Morning (06-11),Summer,0
-14662_6815,Morning (06-11),Fall,1
-14662_6815,Afternoon (12-17),Winter,0
-14662_6815,Afternoon (12-17),Spring,0
-14662_6815,Afternoon (12-17),Summer,0
-14662_6815,Afternoon (12-17),Fall,0
-14662_6815,Evening (18-23),Winter,0
-14662_6815,Evening (18-23),Spring,0
-14662_6815,Evening (18-23),Summer,0
-14662_6815,Evening (18-23),Fall,0
-14662_6819,Night (00-05),Winter,0
-14662_6819,Night (00-05),Spring,0
-14662_6819,Night (00-05),Summer,0
-14662_6819,Night (00-05),Fall,0
-14662_6819,Morning (06-11),Winter,0
-14662_6819,Morning (06-11),Spring,0
-14662_6819,Morning (06-11),Summer,0
-14662_6819,Morning (06-11),Fall,1
-14662_6819,Afternoon (12-17),Winter,0
-14662_6819,Afternoon (12-17),Spring,0
-14662_6819,Afternoon (12-17),Summer,0
-14662_6819,Afternoon (12-17),Fall,0
-14662_6819,Evening (18-23),Winter,0
-14662_6819,Evening (18-23),Spring,0
-14662_6819,Evening (18-23),Summer,0
-14662_6819,Evening (18-23),Fall,0
-14662_6820,Night (00-05),Winter,0
-14662_6820,Night (00-05),Spring,0
-14662_6820,Night (00-05),Summer,0
-14662_6820,Night (00-05),Fall,0
-14662_6820,Morning (06-11),Winter,0
-14662_6820,Morning (06-11),Spring,0
-14662_6820,Morning (06-11),Summer,0
-14662_6820,Morning (06-11),Fall,0
-14662_6820,Afternoon (12-17),Winter,0
-14662_6820,Afternoon (12-17),Spring,0
-14662_6820,Afternoon (12-17),Summer,0
-14662_6820,Afternoon (12-17),Fall,0
-14662_6820,Evening (18-23),Winter,0
-14662_6820,Evening (18-23),Spring,1
-14662_6820,Evening (18-23),Summer,0
-14662_6820,Evening (18-23),Fall,0
-14662_6821,Night (00-05),Winter,0
-14662_6821,Night (00-05),Spring,0
-14662_6821,Night (00-05),Summer,0
-14662_6821,Night (00-05),Fall,0
-14662_6821,Morning (06-11),Winter,0
-14662_6821,Morning (06-11),Spring,0
-14662_6821,Morning (06-11),Summer,1
-14662_6821,Morning (06-11),Fall,0
-14662_6821,Afternoon (12-17),Winter,0
-14662_6821,Afternoon (12-17),Spring,0
-14662_6821,Afternoon (12-17),Summer,0
-14662_6821,Afternoon (12-17),Fall,0
-14662_6821,Evening (18-23),Winter,0
-14662_6821,Evening (18-23),Spring,0
-14662_6821,Evening (18-23),Summer,0
-14662_6821,Evening (18-23),Fall,0
-14662_6822,Night (00-05),Winter,0
-14662_6822,Night (00-05),Spring,0
-14662_6822,Night (00-05),Summer,0
-14662_6822,Night (00-05),Fall,1
-14662_6822,Morning (06-11),Winter,0
-14662_6822,Morning (06-11),Spring,0
-14662_6822,Morning (06-11),Summer,0
-14662_6822,Morning (06-11),Fall,0
-14662_6822,Afternoon (12-17),Winter,0
-14662_6822,Afternoon (12-17),Spring,0
-14662_6822,Afternoon (12-17),Summer,0
-14662_6822,Afternoon (12-17),Fall,0
-14662_6822,Evening (18-23),Winter,0
-14662_6822,Evening (18-23),Spring,0
-14662_6822,Evening (18-23),Summer,1
-14662_6822,Evening (18-23),Fall,0
-14663_6811,Night (00-05),Winter,1
-14663_6811,Night (00-05),Spring,0
-14663_6811,Night (00-05),Summer,0
-14663_6811,Night (00-05),Fall,0
-14663_6811,Morning (06-11),Winter,0
-14663_6811,Morning (06-11),Spring,0
-14663_6811,Morning (06-11),Summer,0
-14663_6811,Morning (06-11),Fall,0
