hex_id,hex_q,hex_r,count,centroid_lat,centroid_lon
-7354_3437,-7354,3437,9,41.96340990415634,-87.6843062836235
-7333_3413,-7333,3413,9,41.7224899213159,-87.54427278942553
-7340_3410,-7340,3410,9,41.69231115377578,-87.67652664505697
-7361_3436,-7361,3436,8,41.95338968508535,-87.8010008621218
-7348_3418,-7348,3418,8,41.7727563838894,-87.73876375358938
-7360_3438,-7360,3438,8,41.97342854763756,-87.7698823078556
-7351_3436,-7351,3436,8,41.95338968508535,-87.64540809079074
-7340_3412,-7340,3412,8,41.71243190617529,-87.66096736792383
-7351_3430,-7351,3430,8,41.893235286577195,-87.69208592219006
-7351_3432,-7351,3432,8,41.91329305408127,-87.67652664505697
-7331_3411,-7331,3411,8,41.702372316973985,-87.52871351229244
-7346_3416,-7346,3416,8,41.75265452173847,-87.72320447645627
-7346_3417,-7346,3417,8,41.762706240002274,-87.71542483788973
-7331_3410,-7331,3410,7,41.69231115377578,-87.53649315085902
-7357_3435,-7357,3435,7,41.9433678904833,-87.74654339215594
-7335_3409,-7335,3409,7,41.68224841664469,-87.60650989795799
-7359_3435,-7359,3435,7,41.9433678904833,-87.77766194642214
-7349_3423,-7349,3423,7,41.822983485491555,-87.71542483788973
-7341_3413,-7341,3413,7,41.7224899213159,-87.66874700649039
-7350_3434,-7350,3434,7,41.93334452040916,-87.64540809079074
-7359_3437,-7359,3437,7,41.96340990415634,-87.76210266928904
-7353_3435,-7353,3435,7,41.9433678904833,-87.6843062836235
-7346_3415,-7346,3415,7,41.74260122916078,-87.73098411502284
-7347_3418,-7347,3418,7,41.7727563838894,-87.72320447645627
-7353_3436,-7353,3436,6,41.95338968508535,-87.67652664505697
-7359_3433,-7359,3433,6,41.92331957492203,-87.79322122355526
-7349_3420,-7349,3420,6,41.79285194828347,-87.73876375358938
-7355_3438,-7355,3438,6,41.97342854763756,-87.69208592219006
-7339_3420,-7339,3420,6,41.79285194828347,-87.5831709822583
-7360_3434,-7360,3434,6,41.93334452040916,-87.8010008621218
-7360_3435,-7360,3435,6,41.9433678904833,-87.79322122355526
-7343_3425,-7343,3425,6,41.8430633033209,-87.60650989795799
-7357_3441,-7357,3441,6,42.00347502395832,-87.69986556075662
-7351_3433,-7351,3433,6,41.92331957492203,-87.66874700649039
-7347_3416,-7347,3416,6,41.75265452173847,-87.73876375358938
-7352_3435,-7352,3435,6,41.9433678904833,-87.66874700649039
-7361_3435,-7361,3435,6,41.9433678904833,-87.80878050068837
-7359_3436,-7359,3436,6,41.95338968508535,-87.7698823078556
-7350_3432,-7350,3432,6,41.91329305408127,-87.66096736792383
-7349_3433,-7349,3433,5,41.92331957492203,-87.6376284522242
-7354_3438,-7354,3438,5,41.97342854763756,-87.67652664505697
-7354_3439,-7354,3439,5,41.983445615470494,-87.66874700649039
-7348_3432,-7348,3432,5,41.91329305408127,-87.62984881365765
-7353_3427,-7353,3427,5,41.863136821663865,-87.74654339215594
-7349_3432,-7349,3432,5,41.91329305408127,-87.64540809079074
-7354_3436,-7354,3436,5,41.95338968508535,-87.69208592219006
-7347_3431,-7347,3431,5,41.90326495794641,-87.62206917509108
-7352_3420,-7352,3420,5,41.79285194828347,-87.78544158498869
-7347_3428,-7347,3428,5,41.87317121837568,-87.64540809079074
-7345_3425,-7345,3425,5,41.8430633033209,-87.6376284522242
-7330_3406,-7330,3406,5,41.652050762297264,-87.55205242799208
-7333_3407,-7333,3407,5,41.66211822084092,-87.59095062082484
-7332_3409,-7332,3409,4,41.68224841664469,-87.55983206655866
-7355_3427,-7355,3427,4,41.863136821663865,-87.77766194642214
-7360_3433,-7360,3433,4,41.92331957492203,-87.80878050068837
-7358_3442,-7358,3442,4,42.01348736449719,-87.70764519932317
-7340_3411,-7340,3411,4,41.702372316973985,-87.66874700649039
-7352_3438,-7352,3438,4,41.97342854763756,-87.64540809079074
-7357_3436,-7357,3436,4,41.95338968508535,-87.73876375358938
-7351_3434,-7351,3434,4,41.93334452040916,-87.66096736792383
-7347_3425,-7347,3425,4,41.8430633033209,-87.66874700649039
-7340_3420,-7340,3420,4,41.79285194828347,-87.5987302593914
-7333_3412,-7333,3412,4,41.71243190617529,-87.55205242799208
-7358_3437,-7358,3437,4,41.96340990415634,-87.74654339215594
