feature_group,gain,weight,cover
drug_summary,272.64440739154816,558.0,27976.719970703125
drug_location,193.1654942035675,522.0,49407.695556640625
socioeconomic,119.3820629119873,731.0,23133.8544921875
infrastructure,111.32054805755615,979.0,202149.15411376953
drug_time,48.32809114456177,379.0,19004.84375
drug_season,32.43929576873779,451.0,21568.81298828125
spatial,31.49110174179077,1614.0,18398.133056640625
community_area,18.19780445098877,325.0,19185.57763671875
other,7.959769248962402,252.0,1908.7625732421875
