hex_id,hex_q,hex_r,centroid_lon,centroid_lat,homicide_count,drug_count,infrastructure_total,drug_arrest_rate,drug_domestic_rate,drug_unique_blocks,drug_season_fall,drug_season_spring,drug_season_summer,drug_season_winter,drug_time_night,drug_time_morning,drug_time_afternoon,drug_time_evening,drug_location_alley,drug_location_apartment,drug_location_cta_platform,drug_location_gas_station,drug_location_park_property,drug_location_parking_lot_garage_non_resid,drug_location_residence,drug_location_sidewalk,drug_location_street,drug_location_vehicle_non_commercial,infra_alcohol,infra_arts_centre,infra_atm,infra_bar,infra_casino,infra_clinic,infra_community_centre,infra_courthouse,infra_e_cigarette,infra_fire_station,infra_fuel,infra_hospital,infra_laundry,infra_library,infra_monastery,infra_nightclub,infra_nursing_home,infra_park,infra_payment_terminal,infra_pharmacy,infra_place_of_worship,infra_playground,infra_police,infra_prison,infra_pub,infra_research_institute,infra_restaurant,infra_school,infra_social_facility,infra_stripclub,infra_supermarket,infra_tobacco,community_area_number,poverty_pct,per_capita_income,hardship_index,community_area_missing,is_hotspot
-14700_6850,-14700,6850,-87.71542483788973,41.84306330332091,20.0,4.0,11.0,1.0,0.0,4.0,0.0,1.0,0.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,30.0,30.7,10402,96.0,0,1
-14700_6851,-14700,6851,-87.71153501860644,41.84808227350258,44.0,9.0,5.0,1.0,0.0,9.0,1.0,3.0,3.0,2.0,1.0,2.0,1.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,30.0,30.7,10402,96.0,0,1
-14700_6852,-14700,6852,-87.70764519932317,41.85310084995869,28.0,24.0,7.0,0.9166666666666666,0.041666666666666664,13.0,8.0,2.0,7.0,7.0,1.0,2.0,13.0,8.0,3.0,0.0,1.0,2.0,0.0,1.0,2.0,7.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,30.7,10402,96.0,0,1
-14700_6853,-14700,6853,-87.7037553800399,41.85811903268165,21.0,41.0,11.0,1.0,0.0,16.0,10.0,5.0,11.0,15.0,3.0,5.0,14.0,19.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,12.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,43.1,12034,87.0,0,1
-14700_6854,-14700,6854,-87.69986556075662,41.863136821663865,8.0,7.0,9.0,1.0,0.0,6.0,2.0,0.0,1.0,4.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,29.0,43.1,12034,87.0,0,0
-14700_6855,-14700,6855,-87.69597574147333,41.86815421689773,23.0,45.0,17.0,0.9777777777777777,0.0,16.0,14.0,12.0,10.0,9.0,3.0,8.0,17.0,17.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,21.0,17.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,29.0,43.1,12034,87.0,0,1
-14700_6856,-14700,6856,-87.69208592219006,41.87317121837568,27.0,19.0,6.0,1.0,0.0,7.0,10.0,3.0,2.0,4.0,0.0,5.0,8.0,6.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,42.4,12961,83.0,0,1
-14700_6857,-14700,6857,-87.68819610290679,41.878187826090134,38.0,40.0,13.0,1.0,0.0,18.0,13.0,7.0,13.0,7.0,2.0,8.0,9.0,21.0,5.0,1.0,0.0,0.0,0.0,2.0,2.0,10.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,28.0,20.6,44689,15.0,0,1
-14700_6858,-14700,6858,-87.6843062836235,41.88320404003357,18.0,82.0,12.0,0.9878048780487805,0.0,17.0,22.0,17.0,18.0,25.0,1.0,12.0,27.0,42.0,10.0,0.0,0.0,2.0,1.0,6.0,0.0,45.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,28.0,20.6,44689,15.0,0,1
-14700_6859,-14700,6859,-87.68041646434024,41.88821986019843,4.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,20.6,44689,15.0,0,0
