feature_group,gain,weight,cover
drug_summary,57.612276792526245,356.0,199.79145431518555
infrastructure,52.84986233711243,482.0,645.0575637817383
socioeconomic,42.11093616485596,432.0,177.49290466308594
drug_location,33.448365569114685,418.0,403.00037956237793
spatial,15.598662614822388,666.0,174.03186798095703
drug_time,12.507795333862305,279.0,118.7017707824707
drug_season,11.890255689620972,296.0,127.01763153076172
other,3.0380096435546875,133.0,39.84852981567383
community_area,2.744018793106079,88.0,35.789974212646484
